,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 Month),Market Cap,PE Ratio (TTM)
116,AIG,"American International Group, Inc.",47.46,+0.12,+0.25%,7.986M,5.246M,34.99B,3.63
117,KDP,Keurig Dr Pepper Inc.,35.10,+0.23,+0.66%,8.955M,7.377M,49.366B,34.08
118,NFLX,"Netflix, Inc.",327.66,-0.73,-0.22%,8.485M,7.938M,145.922B,30.59
119,ORCL,Oracle Corporation,90.14,+2.13,+2.42%,8.117M,7.088M,243.36B,29.65
120,ZION,"Zions Bancorporation, National Association",29.33,+1.08,+3.82%,7.963M,3.411M,4.36B,4.92
121,FYBR,"Frontier Communications Parent, Inc.",21.47,-2.10,-8.91%,7.84M,1.259M,5.261B,11.67
122,DVN,Devon Energy Corporation,48.08,+1.51,+3.24%,7.526M,10.422M,31.444B,5.29
123,BEKE,KE Holdings Inc.,17.65,-0.71,-3.87%,7.514M,9.525M,22.684B,N/A
124,CLF,Cleveland-Cliffs Inc.,17.51,+0.08,+0.46%,7.648M,10.619M,9.014B,7.03
125,CVE,Cenovus Energy Inc.,16.25,+0.72,+4.64%,7.611M,7.116M,31.021B,7.07
126,CMA,Comerica Incorporated,42.58,+2.18,+5.40%,7.6M,3.036M,5.6B,5.06
127,DKNG,DraftKings Inc.,17.81,+0.08,+0.45%,7.59M,13.428M,8.044B,N/A
128,MRK,"Merck & Co., Inc.",106.93,+2.13,+2.03%,7.389M,8.817M,271.451B,18.63
129,ONON,On Holding AG,30.24,-1.42,-4.49%,7.391M,3.299M,9.572B,N/A
130,JD,"JD.com, Inc.",39.78,-0.51,-1.27%,7.315M,8.968M,62.39B,40.59
131,LAZR,"Luminar Technologies, Inc.",6.68,+0.29,+4.54%,7.238M,13.145M,2.467B,N/A
132,X,United States Steel Corporation,25.50,+0.50,+2.00%,7.229M,7.011M,5.793B,2.78
133,UBS,UBS Group AG,19.40,+0.41,+2.16%,7.214M,4.068M,60.29B,8.70
134,MCHP,Microchip Technology Incorporated,77.55,-1.88,-2.37%,7.201M,4.795M,42.482B,21.72
135,XPEV,XPeng Inc.,9.71,+0.09,+0.94%,7.199M,16.595M,8.645B,N/A
136,MO,"Altria Group, Inc.",44.29,+0.32,+0.73%,9.126M,8.369M,79.082B,13.71
137,EQT,EQT Corporation,30.44,-0.12,-0.39%,6.917M,7.103M,10.969B,6.86
138,FIS,"Fidelity National Information Services, Inc.",50.21,+0.51,+1.03%,6.519M,6.457M,29.721B,N/A
139,AVTR,"Avantor, Inc.",21.10,+0.21,+1.01%,6.599M,7.102M,14.231B,21.10
140,APA,APA Corporation,35.38,+0.87,+2.52%,6.903M,6.049M,11.002B,3.16
141,UMC,United Microelectronics Corporation,8.66,+0.06,+0.70%,6.828M,7.715M,22.175B,7.87
142,DIDIY,DiDi Global Inc.,3.7600,+0.1100,+3.01%,6.808M,13.588M,18.251B,N/A
143,U,Unity Software Inc.,28.07,-0.65,-2.26%,6.855M,10.971M,10.52B,N/A
144,JNJ,Johnson & Johnson,153.30,+0.65,+0.43%,6.176M,8.123M,478.271B,22.58
145,UAL,"United Airlines Holdings, Inc.",41.94,+0.58,+1.40%,6.723M,8.698M,13.718B,19.51
146,ELAN,Elanco Animal Health Incorporated,9.09,+0.27,+3.06%,6.49M,7.722M,4.468B,N/A
147,CPG,Crescent Point Energy Corp.,6.65,+0.21,+3.26%,6.535M,6.289M,3.65B,3.58
148,NKE,"NIKE, Inc.",117.81,-2.90,-2.40%,6.555M,6.344M,182.671B,34.05
149,IBM,International Business Machines Corporation,129.31,+4.02,+3.21%,6.498M,5.114M,115.903B,21.24
150,KR,The Kroger Co.,48.63,-0.42,-0.86%,6.044M,5.36M,34.81B,15.69
151,HL,Hecla Mining Company,5.94,+0.03,+0.51%,6.395M,8.96M,3.61B,N/A
152,RBLX,Roblox Corporation,42.27,-1.16,-2.67%,6.432M,13.219M,25.579B,N/A
153,PPL,PPL Corporation,26.96,+0.18,+0.67%,6.389M,5.706M,19.861B,27.23
154,DIS,The Walt Disney Company,95.62,+1.54,+1.64%,7.453M,11.528M,174.68B,52.54
155,OSH,"Oak Street Health, Inc.",36.03,+0.62,+1.75%,6.336M,5.234M,8.792B,N/A
156,WMB,"The Williams Companies, Inc.",28.93,+0.19,+0.66%,6.322M,7.204M,35.26B,17.02
157,BKR,Baker Hughes Company,27.26,+0.24,+0.89%,7.476M,6.458M,27.757B,N/A
158,KIM,Kimco Realty Corporation,18.17,+0.16,+0.89%,6.116M,4.671M,11.263B,113.56
159,PSTG,"Pure Storage, Inc.",23.98,+0.21,+0.88%,6.294M,5.424M,7.256B,104.26
160,VNO,Vornado Realty Trust,14.02,+0.44,+3.24%,6.29M,4.858M,2.89B,N/A
161,NEM,Newmont Corporation,48.21,-0.34,-0.70%,5.967M,7.864M,38.303B,N/A
162,CRM,"Salesforce, Inc.",191.26,+1.20,+0.63%,7.488M,9.232M,191.26B,910.76
163,NVS,Novartis AG,90.28,+6.69,+8.00%,6.345M,2.134M,191.358B,28.12
164,ATVI,"Activision Blizzard, Inc.",84.33,-0.06,-0.07%,7.072M,6.422M,66.138B,41.54
165,VFC,V.F. Corporation,20.84,+0.55,+2.71%,6.239M,8.699M,8.1B,19.66
166,JBLU,JetBlue Airways Corporation,6.82,+0.12,+1.79%,6.189M,8.831M,2.232B,N/A
167,DAL,"Delta Air Lines, Inc.",32.13,+0.54,+1.71%,7.029M,10.162M,20.603B,16.39
168,UAA,"Under Armour, Inc.",8.93,+0.06,+0.68%,6.071M,7.869M,3.746B,18.60
169,PM,Philip Morris International Inc.,92.60,+1.85,+2.04%,6.055M,4.592M,143.729B,15.86
170,COP,ConocoPhillips,97.48,+2.05,+2.15%,6.046M,6.619M,118.807B,6.76
171,TME,Tencent Music Entertainment Group,7.71,+0.05,+0.65%,6.038M,7.299M,13.069B,28.56
172,SBUX,Starbucks Corporation,98.66,+0.32,+0.33%,6.021M,6.14M,113.39B,34.26
173,PBR-A,Petróleo Brasileiro S.A. - Petrobras,8.92,+0.22,+2.53%,5.935M,9.262M,61.644B,1.58
174,GE,General Electric Company,93.31,+1.94,+2.12%,5.967M,8.218M,101.734B,176.06
175,FE,FirstEnergy Corp.,39.03,-0.14,-0.36%,5.622M,3.779M,22.335B,52.74
176,IBN,ICICI Bank Limited,20.80,+0.06,+0.29%,5.885M,7.167M,72.613B,19.08
177,HLN,Haleon plc,8.22,+0.05,+0.61%,5.898M,4.886M,37.954B,28.34
178,PG,The Procter & Gamble Company,145.95,-0.77,-0.52%,5.898M,6.876M,344.316B,25.12
179,BBIO,"BridgeBio Pharma, Inc.",14.32,-0.58,-3.89%,5.894M,2.872M,2.294B,N/A
180,CPNG,"Coupang, Inc.",15.27,-0.02,-0.13%,6.236M,7.632M,27.093B,N/A
181,LU,Lufax Holding Ltd,1.9100,-0.0400,-2.05%,5.795M,16.326M,4.378B,3.41
182,BSX,Boston Scientific Corporation,48.33,+0.11,+0.23%,5.754M,7.463M,69.466B,107.40
183,S,"SentinelOne, Inc.",15.19,+0.55,+3.76%,5.742M,5.683M,4.294B,N/A
184,PR,Permian Resources Corporation,9.90,+0.31,+3.23%,5.721M,7.886M,5.507B,6.07
185,AQN,Algonquin Power & Utilities Corp.,8.04,+0.02,+0.25%,5.304M,5.447M,5.533B,N/A
186,BAX,Baxter International Inc.,40.07,+0.84,+2.14%,5.543M,6.47M,20.256B,N/A
187,CVX,Chevron Corporation,157.65,+1.59,+1.02%,6.789M,8.881M,300.587B,8.54
188,MS,Morgan Stanley,84.64,+0.69,+0.82%,6.336M,7.997M,142.359B,14.08
189,NEE,"NextEra Energy, Inc.",75.44,-0.25,-0.33%,5.515M,9.19M,149.937B,34.93
190,XP,XP Inc.,11.22,+0.30,+2.75%,5.473M,5.516M,6.289B,9.93
191,MET,"MetLife, Inc.",55.85,+1.50,+2.76%,5.19M,4.909M,43.248B,19.19
192,CLVT,Clarivate Plc,9.24,-0.02,-0.22%,4.625M,6.484M,6.242B,N/A
193,GFI,Gold Fields Limited,12.90,+0.10,+0.78%,5.613M,5.569M,11.526B,15.93
